INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,40.49724,1
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,46.67103,1
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,39.31403,1
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,37.82555,1
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,36.77996,1
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,19.69118,1
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,50.7701,1
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,38.60812,1
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,50.01989,1
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,43.1682,1
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,43.75561,1
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,32.50249,1
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,45.53609,1
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,11.63138,1
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,40.63296,1
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,34.84,1
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,16.48863,1
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,40.98586,1
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,40.5834,1
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,10.09305,1
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,36.75764,1
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,26.26861,1
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,48.21508,1
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,LMP,LMP_PRC,2C559_1_B1,ALL,1,12.98864,1
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,-1.03803,2
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,-1.7347,2
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,17.08489,3
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,47.07113,3
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,13.15073,3
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,48.81057,3
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,15.26051,3
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,39.10871,3
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,27.07546,3
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,41.10152,3
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,36.99813,3
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,44.13963,3
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,40.77451,3
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,46.0286,3
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,50.58134,3
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,51.1383,3
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,41.59734,3
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,10.4678,3
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,20.39903,3
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,40.97678,3
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,43.59983,3
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,33.37696,3
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,37.00198,3
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,35.73333,3
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,39.54736,3
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,38.0692,3
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.53717,4
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.70785,4
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.50059,4
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.48132,4
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.24364,4
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.27727,4
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.59549,4
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.56145,4
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.22201,4
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.23333,4
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.61148,4
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.37475,4
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.80685,4
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.87448,4
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.59626,4
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.89333,4
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,2018-12-30,8,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.46856,4
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.43164,4
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.49251,4
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.4001,4
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,2018-12-30,7,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.38401,4
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.39338,4
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,2018-12-30,18,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.3682,4
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.24049,4
